seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
8,15,ablation,-152930,-153355#4,True,334776.52,41135.97819689395,666.5,1049239.56,0.0,0,31.92,8138.29,0,254,48359.4
8,16,ablation,152385,-152742,True,876206.98,112249.32166694423,618.0,2746340.73,4.75,2,56.57,7805.9,0,247,65841.0
8,17,ablation,-152725#0,152483#0,True,642235.95,98508.64088079157,624.0,2013020.02,0.0,0,44.57,6519.59,0,238,72348.5
8,18,ablation,152413#1,153427#10,True,239728.39,95981.96297304655,239.25,751396.92,2.5,1,27.4,2497.64,0,237,65407.4
8,19,ablation,-153451#0,-152492,True,453090.93,51124.27475644679,685.5,1420075.25,0.0,0,29.04,8862.54,0,240,62349.1
8,20,ablation,152817#3,153056,True,561374.8,104519.99448890149,501.0,1759555.92,12.75,1,61.04,5370.98,0,236,58616.6
8,21,ablation,-152830#0,152556,True,377130.64,69067.3713859785,505.5,1182039.29,0.0,0,27.1,5460.33,0,232,50757.2
8,22,ablation,-152657#2,153332#2,True,808274.89,121529.19693213068,597.75,2533455.1,6.5,1,81.65,6650.87,0,251,61952.4
8,23,ablation,-153553,153475#2,True,360237.51,86992.87853175562,418.0,1129112.02,0.0,0,35.98,4141.0,0,263,58573.3
8,24,ablation,153454#0,152489#3,True,546650.51,100735.91790025744,415.0,1713400.35,0.0,0,27.27,5426.57,0,265,62613.7
10,0,ablation,153487#1,-152776,True,345392.37,50486.06998044243,554.0,1082557.27,8.75,2,89.89,6841.34,0,218,42242.9
10,1,ablation,-152401,-153473#0,True,146971.23,80830.25623257272,140.25,460648.42,0.0,0,16.57,1818.27,0,228,43441.2
10,2,ablation,-153413#12,-153370#1,True,581294.12,92508.2546907077,492.5,1821950.71,0.0,0,39.96,6283.7,0,233,43251.9
10,3,ablation,-152883#0,-152743#1,True,848605.25,115155.5254905207,536.5,2659820.64,2.75,1,61.51,7369.21,0,247,56735.9
10,4,ablation,153327#1,-152682#1,True,243061.14,48779.34603953144,462.25,761830.35,0.0,0,51.17,4982.87,0,256,64627.8
10,5,ablation,153405#1,152690,True,253499.64,139886.56755951396,195.25,794584.53,0.0,0,40.86,1812.18,0,244,63803.2
10,6,ablation,-152443,-152427,True,618971.81,98586.5658139098,476.0,1940062.66,5.5,1,40.82,6278.46,0,249,64411.3
10,7,ablation,-152712,-153363#0,True,231888.02,61857.75449285491,321.75,726795.52,0.0,0,29.98,3748.73,0,237,72519.3
10,8,ablation,-153383#2,152960#6,True,227622.3,55949.81233085812,355.75,713434.42,10.75,1,52.35,4068.33,0,221,60456.2
10,9,ablation,153572#0,153327#0,True,411095.91,87129.63390777435,403.5,1288500.88,0.0,0,30.79,4718.21,0,223,44089.7
10,10,ablation,152677#1,-153365#1,True,190313.04,88627.34359719466,202.75,596510.06,0.0,0,23.2,2147.34,0,237,56533.8
10,11,ablation,152789#0,153401,True,242785.16,109778.55750839892,233.25,760990.61,8.75,3,41.78,2211.59,0,237,49513.0
10,12,ablation,-153476#17,-152284,True,408269.89,74547.64882783756,466.0,1279648.52,5.0,2,56.16,5476.63,0,250,55095.3
10,13,ablation,-152939#5,152693#1,True,95824.18,173396.63065703996,67.75,300363.6,0.0,0,20.0,552.63,0,262,54414.8
10,14,ablation,152398#3,-153476#16,True,200348.12,91380.09642093166,186.25,627954.73,0.0,0,19.68,2192.47,0,260,44653.3
10,15,ablation,-152930,-153355#4,True,331465.97,40729.19126745299,621.5,1038859.5,0.0,0,30.78,8138.29,0,256,48702.6
10,16,ablation,152385,-152742,True,901599.24,115417.26011790083,540.0,2825921.71,21.25,2,79.2,7811.65,0,247,58716.4
10,17,ablation,-152725#0,152483#0,True,639338.04,98064.1482056387,581.25,2003928.34,0.0,0,47.36,6519.59,0,242,68704.6
10,18,ablation,152413#1,153427#10,True,237433.09,95062.97544882368,217.5,744198.13,0.0,0,24.08,2497.64,0,238,69305.2
10,19,ablation,-153451#0,-152492,True,453775.48,51201.515592595344,764.25,1422228.74,0.0,0,24.13,8862.54,0,237,62724.1
10,20,ablation,152817#3,153056,True,564871.06,105170.94831855642,525.75,1770522.2,8.75,1,67.54,5370.98,0,247,60741.3
10,21,ablation,-152830#0,152556,True,371986.35,68125.2506716627,456.75,1165906.26,0.0,0,27.69,5460.33,0,237,50230.1
10,22,ablation,-152657#2,153332#2,True,809214.97,121670.54385366123,712.25,2536420.59,5.5,2,71.92,6650.87,0,247,60465.1
10,23,ablation,-153553,153475#2,True,362776.88,87606.10480560252,407.25,1137069.67,0.0,0,38.32,4141.0,0,265,53799.7
10,24,ablation,153454#0,152489#3,True,557353.0,102708.15634922244,452.75,1746954.2,12.0,2,40.71,5426.57,0,268,67795.8
4,0,ours-augtime,153487#1,-152776,True,313119.89,45768.79529448909,707.5,981413.86,0.0,0,48.34,6841.34,0,225,45064.8
4,1,ours-augtime,-152401,-153473#0,True,142756.61,78512.32765210886,184.5,447444.77,0.0,0,13.05,1818.27,0,228,45257.8
4,2,ours-augtime,-153413#12,-153370#1,True,585648.51,93201.22061842546,540.25,1835607.12,0.0,0,37.34,6283.7,0,242,41993.8
4,3,ours-augtime,-152883#0,-152743#1,True,864059.98,117344.28923359398,504.25,2708260.64,6.75,1,70.13,7363.46,0,244,49206.3
4,4,ours-augtime,153327#1,-152682#1,True,205861.17,39884.213218327335,400.5,645204.56,0.0,0,33.23,5161.47,0,253,57729.9
4,5,ours-augtime,153405#1,152690,True,253566.24,139923.31887560835,192.25,794792.84,0.0,0,41.31,1812.18,0,246,68942.3
4,6,ours-augtime,-152443,-152427,True,632705.83,100774.04809459644,530.75,1983123.53,15.25,1,52.19,6278.46,0,244,66108.8
4,7,ours-augtime,-152712,-153363#0,True,235913.28,62931.52080838044,345.5,739413.58,0.0,0,27.34,3748.73,0,231,63257.5
4,8,ours-augtime,-153383#2,152960#6,True,255233.59,62064.84095545877,378.5,799989.27,10.0,2,62.74,4112.37,0,212,56578.4
4,9,ours-augtime,153572#0,153327#0,True,412369.02,87399.46293191698,405.25,1292492.59,0.0,0,30.33,4718.21,0,227,47596.8
